iter	Logloss
0	0.5605388607
1	0.4714132812
2	0.3908455892
3	0.3425662207
4	0.3026954508
5	0.2729269059
6	0.2513682373
7	0.2349456185
8	0.2259375358
9	0.2147675342
10	0.2081474805
11	0.2032681323
12	0.1981320337
13	0.1940559416
14	0.1919799797
15	0.1892978996
16	0.1872041235
17	0.1858975602
18	0.1845996655
19	0.1834805469
20	0.1827894303
21	0.1818697249
22	0.1812125008
23	0.1807562988
24	0.1802727759
25	0.1798751831
26	0.1792919507
27	0.1789981543
28	0.178755765
29	0.1785578003
30	0.1783208561
31	0.1780555046
32	0.1777936458
33	0.177596569
34	0.1774215584
35	0.1772922843
36	0.1771719499
37	0.1770563078
38	0.1769443612
39	0.1768626058
40	0.1767626009
41	0.1766797909
42	0.1765770833
43	0.1764969157
44	0.1764038314
45	0.1763054826
46	0.1762356144
47	0.1761311597
48	0.1760726709
49	0.1759757056
50	0.1758972176
51	0.1758204834
52	0.1757564689
53	0.175682959
54	0.1755962809
55	0.1755459668
56	0.175489401
57	0.1754327311
58	0.1753811694
59	0.175331709
60	0.1752898641
61	0.1752454924
62	0.1751557886
63	0.1751014136
64	0.1750237459
65	0.174977867
66	0.174917229
67	0.174871132
68	0.1748333049
69	0.1747870638
70	0.1747589095
71	0.1747016675
72	0.174642168
73	0.174598007
74	0.1745527051
75	0.1745179053
76	0.174487203
77	0.174463571
78	0.174432321
79	0.1743885563
80	0.1743262012
81	0.1742881616
82	0.1742554688
83	0.1742326042
84	0.1741913338
85	0.1741393424
86	0.1741188151
87	0.1740967725
88	0.1740655599
89	0.1740351229
90	0.1740098063
91	0.1739785946
92	0.1739566382
93	0.1739029989
94	0.1738368514
95	0.1738104956
96	0.1737903084
97	0.1737469336
98	0.1737260604
99	0.1736731502
100	0.173605647
101	0.173589978
102	0.1735338477
103	0.17350698
104	0.1734702531
105	0.1734321045
106	0.1734133301
107	0.1733666935
108	0.1733417
109	0.1732950098
110	0.1732450798
111	0.1732071859
112	0.1731464624
113	0.1731182609
114	0.1730753385
115	0.1730401253
116	0.1730208944
117	0.1730097144
118	0.1729708065
119	0.172934314
120	0.1728967196
121	0.1728661825
122	0.1728152531
123	0.1727685514
124	0.172730472
125	0.1726826351
126	0.1726352816
127	0.1725973136
128	0.1725617928
129	0.1725326278
130	0.172485188
131	0.1724526766
132	0.1724213232
133	0.1723793726
134	0.172341661
135	0.1723081364
136	0.1722563957
137	0.1722183732
138	0.1721872681
139	0.1721571069
140	0.1721194295
141	0.1720974268
142	0.1720495166
143	0.1719977498
144	0.1719918262
145	0.1719505623
146	0.1718938737
147	0.1718778467
148	0.1718505868
149	0.1718134326
150	0.1717860002
151	0.1717441333
152	0.1717166602
153	0.17167816
154	0.1716484863
155	0.1716048665
156	0.1715785872
157	0.1715550244
158	0.1715113135
159	0.1714551701
160	0.171416827
161	0.1713809456
162	0.1713511206
163	0.1713184106
164	0.1712767204
165	0.1712381909
166	0.1711976302
167	0.1711694808
168	0.1711233773
169	0.1710979346
170	0.1710503182
171	0.1710017383
172	0.1709671021
173	0.1709214909
174	0.1708817041
175	0.1708260449
176	0.1707745947
177	0.1707335563
178	0.1706883919
179	0.1706322396
180	0.1705909774
181	0.1705824023
182	0.1705579704
183	0.1705282007
184	0.1704755461
185	0.1704227734
186	0.1703982926
187	0.1703762646
188	0.1703420841
189	0.1703238802
190	0.1702874626
191	0.1702543677
192	0.1702113867
193	0.1701923641
194	0.1701690861
195	0.170133501
196	0.1700958545
197	0.1700784912
198	0.1700530387
199	0.1700138289
