iter	Passed	Remaining
0	211	42028
1	227	22523
2	243	15997
3	257	12638
4	272	10616
5	286	9277
6	300	8280
7	313	7525
8	327	6960
9	341	6484
10	355	6111
11	368	5779
12	382	5508
13	399	5307
14	411	5077
15	424	4882
16	438	4725
17	453	4582
18	467	4451
19	480	4321
20	493	4209
21	506	4100
22	525	4044
23	539	3958
24	553	3876
25	569	3812
26	583	3740
27	596	3664
28	610	3600
29	624	3536
30	636	3471
31	649	3410
32	664	3365
33	678	3314
34	693	3267
35	707	3221
36	721	3176
37	734	3131
38	746	3082
39	760	3042
40	774	3002
41	787	2962
42	801	2924
43	815	2889
44	829	2855
45	844	2826
46	857	2792
47	874	2767
48	887	2734
49	900	2702
50	912	2666
51	926	2636
52	937	2601
53	951	2572
54	964	2542
55	977	2512
56	990	2484
57	1003	2457
58	1016	2428
59	1031	2407
60	1045	2383
61	1060	2359
62	1073	2333
63	1086	2309
64	1100	2286
65	1114	2262
66	1127	2238
67	1142	2216
68	1155	2193
69	1171	2175
70	1187	2156
71	1204	2141
72	1219	2122
73	1233	2100
74	1248	2080
75	1266	2066
76	1280	2045
77	1298	2030
78	1314	2013
79	1330	1995
80	1349	1983
81	1370	1971
82	1389	1958
83	1409	1946
84	1429	1934
85	1449	1921
86	1468	1907
87	1488	1894
88	1508	1881
89	1528	1868
90	1549	1855
91	1575	1849
92	1594	1834
93	1615	1821
94	1636	1808
95	1656	1794
96	1677	1781
97	1700	1770
98	1723	1758
99	1745	1745
100	1769	1734
101	1796	1725
102	1822	1716
103	1852	1709
104	1877	1698
105	1899	1684
106	1922	1670
107	1944	1656
108	1967	1642
109	1999	1636
110	2029	1627
111	2057	1616
112	2081	1602
113	2104	1587
114	2128	1573
115	2153	1559
116	2175	1543
117	2201	1530
118	2226	1515
119	2253	1502
120	2277	1487
121	2302	1472
122	2332	1460
123	2359	1446
124	2384	1430
125	2410	1415
126	2433	1398
127	2459	1383
128	2481	1365
129	2503	1348
130	2528	1331
131	2552	1314
132	2577	1298
133	2606	1283
134	2631	1267
135	2659	1251
136	2687	1235
137	2713	1218
138	2741	1203
139	2769	1186
140	2794	1169
141	2824	1153
142	2850	1136
143	2878	1119
144	2901	1100
145	2931	1084
146	2954	1065
147	2982	1047
148	3009	1030
149	3035	1011
150	3060	993
151	3090	975
152	3119	958
153	3143	938
154	3168	919
155	3194	900
156	3221	882
157	3243	862
158	3268	842
159	3293	823
160	3319	804
161	3346	785
162	3372	765
163	3399	746
164	3429	727
165	3455	707
166	3480	687
167	3508	668
168	3540	649
169	3567	629
170	3599	610
171	3625	590
172	3653	570
173	3682	550
174	3708	529
175	3741	510
176	3767	489
177	3794	469
178	3824	448
179	3851	427
180	3880	407
181	3905	386
182	3934	365
183	3959	344
184	3993	323
185	4036	303
186	4063	282
187	4095	261
188	4124	240
189	4157	218
190	4187	197
191	4215	175
192	4243	153
193	4271	132
194	4298	110
195	4328	88
196	4357	66
197	4387	44
198	4416	22
199	4444	0
